log2(PTR):genome_id/sample_id,TRE3326A10-45241226,TRE3326A11-45241228,TRE3326A12-45238228,TRE3326A13-45249221,TRE3326A14-45252219,TRE3326A15-45241232,TRE3326A16-45245241,TRE3326A17-45241234,TRE3326A18-45238232
bin_23_metaspades.fasta,,,,,,0.20714589411264378,0.29277978228165197,0.2140633287695999,0.2208224312978685
bin_10_operams.fasta,0.327383056204243,0.39009374402284624,0.3743592965430938,0.3820724787687864,0.3668077711778404,0.3170901695767081,0.4057940703519011,0.2006845242073041,0.20505268495724774
bin_10_unicycler.fasta,0.509745822539834,0.5373595315308652,0.5393330228803593,0.5205128173558837,0.567335759622057,0.5161360274334086,0.5176118122688393,0.5115963413193538,0.5203162467273932
bin_11_operams.fasta,0.49552959570951793,0.5070418250846647,0.4572271870860009,0.46262500887845454,0.42447512980161106,0.44255311465189995,,,
bin_12_metaspades.fasta,0.626717326422224,,,0.5171912471971654,,0.5824322208468258,0.6666518379251133,,0.39573528386363255
bin_12_operams.fasta,0.47470354198742776,0.49013873058679563,0.607175045783123,0.6658338368173508,0.4937777571960001,0.4523091461089953,0.5718405369583938,0.5543063847305024,0.5902015452069056
bin_13_metaspades.fasta,0.4790114238956779,0.6546164551550617,0.397070099438374,0.5268715554967978,0.5152638517475738,,,,
bin_13_unicycler.fasta,0.3237971586733492,0.35012014363718824,0.37109528683245346,0.35654500515199716,0.4319295287414172,0.43256930323797277,0.37901166035406286,0.38534097679036394,0.4077216409262821
bin_15_metaspades.fasta,0.6793303023245499,0.7229060634542589,1.0609183495779893,1.2135875343745728,1.126863672700026,0.9015313667574026,1.010358462682832,0.9325078277738502,1.104264335468426
bin_15_operams.fasta,0.33580077757808074,0.3592898396408691,0.31629271813740073,0.31846899568862014,0.3977348994664008,0.38806699477787693,0.37238845455549385,0.2970404602333839,0.3537454891907057
bin_16_metaspades.fasta,0.42268382327745296,0.5679957936032449,0.45433208292492033,0.4750125567496983,0.5801445816257372,0.5021410756572208,0.4477286547940481,0.5719945871064588,0.513942858937722
bin_18_operams.fasta,0.6122236032745476,0.6034229561544123,0.5584572606190957,0.5764846951917744,0.624968729095475,0.6266988787549809,0.6006754321832529,0.52254196966025,0.5373253777322963
bin_19_unicycler.fasta,0.6107324213216185,0.6871663248817873,0.9986809835323174,1.116519179307588,0.9931864363451164,,1.0078932263672626,,
bin_20_operams.fasta,0.48465240743882726,0.48963390804541,0.5350731268602772,0.2959223222623588,,,0.470533541142372,0.4286827474248175,0.4372648703089622
bin_21_operams.fasta,0.6784162304980738,0.5419881809213861,0.6812554996703603,0.5701753541739938,0.4815052373061308,,,,
bin_24_unicycler.fasta,0.354176537942914,0.36454567079781663,0.326755192685729,0.33672861474235166,0.3827716826185266,0.32940407462282684,0.3966280222020608,0.3880520333252967,0.3467324073625411
bin_25_metaspades.fasta,0.42323567767690096,0.4834952432087185,0.40983834951469195,0.418169797081715,0.42737201571357286,,0.28529068703811555,,
bin_25_operams.fasta,0.48688461812875156,0.4580514398953337,0.36675837896157476,0.44097975677043294,0.4223693056859159,0.4487872809264513,0.4307484621176756,0.4186315595859441,0.44828710580010994
bin_25_unicycler.fasta,0.5690115504245954,0.4717054133014178,0.4824551792344811,0.5674776924482017,0.4727165046353872,0.5266341073451064,0.48041701911558404,0.4724014089144887,0.430234187349216
bin_26_metaspades.fasta,0.44094861516598427,0.47884429777346804,0.5993286088914835,0.7131458652494836,0.6367982049717714,0.5871030116875894,0.647048875588158,,
bin_2_unicycler.fasta,0.48916621923269543,0.4787641472654029,0.48321308635478594,0.5078536745316247,0.5298287670821146,0.5019427128831714,0.6955655185862866,0.6093991739929935,0.6118815985539414
bin_31_metaspades.fasta,0.4288538578022195,0.4268139807440543,0.4945773771827856,,0.38526167384145615,0.5209663413083718,0.558509046898765,0.4843710758602694,0.5474538532134184
bin_32_metaspades.fasta,0.5112747997926965,0.5426316150366758,0.5468268783258637,0.5767812723702974,0.6119588577567162,0.464112668965311,0.4202727063749705,0.4210843101900498,0.5815143397744922
bin_34_metaspades.fasta,0.37583836326024245,0.34149079663404214,0.3397789890498857,0.37382872996037175,0.4311117149190522,0.2759205900602863,0.39682839469359943,0.3168147474962803,0.4314025449682353
bin_35_metaspades.fasta,,,,,0.06723636572119389,0.34347559745450196,0.3167822979262358,0.3420646824281619,0.3526448822980262
bin_37_operams.fasta,0.29545380822272915,0.30503336757462574,0.3570280715129306,0.3899153795808812,0.3840257358368205,0.32493603929508297,0.3942954653413758,0.35958453412427266,0.3695600343092717
bin_3_metaspades.fasta,,0.5314903870037536,0.5824325530443583,,0.6581002717650543,0.5178675877525054,0.6151504382353629,,
bin_3_operams.fasta,0.5161055919455765,0.515648250877916,,0.5178508049469766,0.5292349843399111,0.41471817065986877,0.5520889521554534,0.456238458662265,0.4686319350168419
bin_40_operams.fasta,0.4649936805816877,0.6083209254620986,0.7413895644489122,0.6383773711353758,0.7560119217324452,0.5498981525156642,0.5679797579895378,0.7396717577592564,
bin_42_operams.fasta,0.674104905423509,0.6325403555500522,0.6345106934401717,0.6596806049848519,0.6568482108800894,0.6502234455879619,0.6243727533718947,0.628926353496838,0.6281281239910479
bin_43_metaspades.fasta,,0.4922452458511876,,,0.6198413138308175,0.5935546206062026,0.5558802212813289,0.5027739053657023,0.5096547245963446
bin_4_operams.fasta,0.5816551736563579,0.5939693109468857,1.0210155071854317,1.0454193115199992,1.0594612988922205,0.7707652647911059,0.8975550458648813,1.008204278662276,0.9743975304099796
bin_53_operams.fasta,0.5367594261935075,0.5370635940281033,0.5543044910660375,0.5649436276802712,0.588170393698446,0.4834469927706569,0.5431861686598894,0.5602502040216475,0.5007257601490682
bin_54_operams.fasta,0.36462126315372934,0.3297087886213075,0.35246571200504984,0.30027543456823047,0.3551296420706716,0.3743149305607634,0.3683407244782262,0.3819121865907157,0.3450330450693886
bin_57_operams.fasta,0.5359022290453714,0.4482240893369157,0.4523074183854459,0.48819067085418566,0.38553284174679553,0.4095836807601422,0.4174101199448651,0.3615058491930205,0.3850044791276226
bin_58_metaspades.fasta,0.6209689899054925,0.5890441433638859,0.7656020424435658,0.7325641545663629,0.7265412098227563,,0.5490629418495215,,0.5702186029738255
bin_58_operams.fasta,0.4702289233618832,0.47259341558108947,0.467461901442022,0.4402114265344592,0.4888894607785992,,0.5426702627232634,0.47704755679895805,0.4014771292696492
bin_5_operams.fasta,0.5791701313541349,0.5679943663011031,0.42650345213686947,0.5946285499949083,0.5151659272364161,0.6556028988971015,0.49333004145556697,0.5541583168149109,0.49693300811382746
bin_5_unicycler.fasta,,0.40646570609546534,,,0.6031278221978372,0.4784354850624046,0.6382172854982832,0.675821634762753,0.7216980168081026
bin_61_metaspades.fasta,0.6600336702746016,0.7451149763584806,0.7434186414312427,0.45961495202318786,0.5572301382320537,,,,
bin_64_operams.fasta,0.9592291735816387,0.9405694399887284,0.9864867829343993,0.8962613010838376,0.8956209056085003,0.4191299649688619,0.7896636946903148,0.9107974284418532,0.38313917908067796
bin_7_metaspades.fasta,0.5246218909261849,0.5678097337464743,0.6151827735619504,0.5258242984918643,0.5353649546693923,0.4119765654926399,0.5397574597605826,0.44479698864078393,0.4283062768119197
bin_7_unicycler.fasta,0.37573872832097743,0.4046914837338737,0.3943502788912686,0.3257691600098134,0.35571166830560524,,,,
bin_8_metaspades.fasta,0.6554980748058222,0.735868929176635,0.6852589142640528,0.5789312901983436,0.5368975053305943,,,,
bin_9_metaspades.fasta,0.45963224255842194,0.46026924258793894,0.4577678080010629,0.46284699919646993,0.4617994601829961,0.48717133791499023,0.4819892462007808,0.46787761802652145,0.46346091368230624
